Crop,Variety ,Description
Maize,White maize,"White grain; mild flavor, widely used for flour, ugali, and swallow dishes"
Maize,Yellow maize,"Yellow grain; rich in beta-carotene/vitamin A, common for livestock feed and cooking"
Maize,Sweet corn,"Yellow/white grain; high sugar content, consumed fresh, canned, or boiled"
Maize,Popcorn,"Small, hard-kernel grain; expands and pops when heated due to internal moisture"
Maize,Flint corn (Indian corn),"Hard outer shell, multicolored kernels; highly resistant to pests, used for hominy"
Beans,Brown beans,"Brown cowpea; rich earth-toned seed coat, popular for stewed beans and ewa aganyin"
Beans,White beans,"White cowpea / Navy bean; mild taste, small white seed, great for soups and baked beans"
Beans,Black-eyed cowpea,"Cream-colored skin with a distinct black spot; used for akara, moi-moi, and salads"
Beans,Red kidney beans,"Large, dark red kidney-shaped bean; firm texture, commonly used in chili and rice dishes"
Beans,Black beans,"Small, shiny black seed; earthy flavor, widely used in Latin American and Caribbean cuisine"
